"","artist","track","rank","streams"
"1","Lil Nas X","MONTERO (Call Me By Your Name)",1,275091
"2","Blind Channel","Dark Side",2,260403
"3","SANNI","Pettäjä",3,255770
"4","Haloo Helsinki!","Piilotan mun kyyneleet",4,238089
"5","Doja Cat","Kiss Me More (feat. SZA)",5,236820
"6","Cledos, BEHM","Life (Sun luo)",6,224839
"7","Masked Wolf","Astronaut In The Ocean",7,202630
"8","BEHM","Frida",8,200910
"9","Pyhimys, Eino Grön","Hyvät hautajaiset",9,196586
"10","costee","Ne voi liittyy (feat. BIZI)",10,194852
"11","Riton, Nightcrawlers","Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",11,186470
"12","Tion Wayne, Russ Millions","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",12,182369
"13","Nathan Evans"," Wellerman - Sea Shanty / 220 KID x Billen Ted Remix",13,182353
"14","Dua Lipa","Levitating (feat. DaBaby)",14,180922
"15","Etta","Prinsessa",15,175544
"16","BEHM","Hei rakas",16,168578
"17","Justin Bieber","Peaches (feat. Daniel Caesar & Giveon)",17,167833
"18","Keko Salata","Kaipaan sua (feat. Boyat & Samuli Heimo)",18,158543
"19","YB026, Nuteh Jonez","Steppasin Partyy",19,154737
"20","ibe","Tunteet",20,147176
"21","Billie Eilish","Your Power",21,143926
"22","The Weeknd","Save Your Tears (with Ariana Grande) (Remix)",22,142865
"23","william","Penelope (feat. Clever)",23,142381
"24","Polo G","RAPSTAR",24,135300
"25","Olivia Rodrigo","good 4 u",25,132459
"26","ATB, Topic, A7S","Your Love (9PM)",26,132176
"27","Majestic, Boney M.","Rasputin",27,129677
"28","P!nk, Willow Sage Hart","Cover Me In Sunshine",28,126374
"29","ABREU","20 Ave Mariaa",29,125031
"30","william","Flyys",30,121863
"31","Brädi","Keväät",31,121534
"32","Aurora","Vettä kaivoon (feat. Keko Salata)",32,119095
"33","Teflon Brothers, Pandora","I Love You",33,117764
"34","Portion Boys","Kyläbaari",34,116293
"35","Lauri Tähkä","Aavikko",35,114680
"36","Tiësto","The Business",36,111908
"37","Pihlaja","Paha Barbi",37,110442
"38","ibe, Blacflaco, Elastinen","WEST SIDE BABY",38,110222
"39","BEHM","Päästä varpaisiin",39,110066
"40","BEHM","Lupaan",40,109843
